PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
1 2 3 -1 -2 -3 
1.43221E-06 -4.08882E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.41982E-06 -4.05313E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.40694E-06 -4.01607E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.39359E-06 -3.97765E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.37977E-06 -3.93786E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.36549E-06 -3.89673E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.35074E-06 -3.85428E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.33902E-06 -3.82054E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.33554E-06 -3.81053E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.31866E-06 -3.76193E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.30128E-06 -3.71188E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.28340E-06 -3.66044E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.26506E-06 -3.60763E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.24626E-06 -3.55351E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.22702E-06 -3.49812E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.20736E-06 -3.44152E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.18729E-06 -3.38375E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.16684E-06 -3.32487E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.14602E-06 -3.26494E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.12485E-06 -3.20400E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.10335E-06 -3.14210E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.08153E-06 -3.07930E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.05942E-06 -3.01565E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.03703E-06 -2.95120E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.01438E-06 -2.88599E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
9.91485E-07 -2.82008E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.78499E-06 -5.18351E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.76954E-06 -5.13827E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.75349E-06 -5.09129E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.73686E-06 -5.04257E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.71963E-06 -4.99213E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.70183E-06 -4.93999E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.68345E-06 -4.88618E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.66884E-06 -4.84340E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.66451E-06 -4.83071E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.64347E-06 -4.76910E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.62180E-06 -4.70566E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.59952E-06 -4.64043E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
1.57666E-06 -4.57349E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 
